id_channel,name,interest,created_at,updated_at,thumbnail_channel_url,keywords,id_language,id_categ_1
UCeuZrCdpIY69XNWqn9OeSYQ,DagsHub,2.5,2023-11-21 18:17:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,En,IA
UCfE1oQ47oqyJNzM-nFy_gjA,blowuplactualiteducinemaou121,2.5,2023-11-21 18:17:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Cinema
UCfipg1q2NsExNwfkPoRqZyQ,TheSkyline35,2.5,2023-11-21 18:21:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Fly
UCfj4kQ6_mYO5r4hzX5KloVw,beINSPORTSFrance,2.5,2023-11-21 16:19:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Sport
UCfqLgK5ajTbqY61mtNV_Agg,Science4allOrg,2.5,2023-11-21 18:31:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,En,Science
UCFqV9b9ji8yIMw3GyNlueuA,PokerWinamax,2.5,2023-11-21 16:17:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Poker
UCfY6ovyFMaw30NRs-KrxrWw,zettabytesepfl9993,2.5,2023-11-21 18:31:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,?,Code
UCGGrZas3bCSnnAKQ4Jstudg,GuitareJump,2.5,2023-11-21 16:24:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Guitar
UCgkhWgBGRp0sdFy2MHDWfSg,ElJj,2.5,2023-11-21 18:31:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Maths
UCgoxc-VKU0cw9BcM9z_qokg,frandroid,2.5,2023-11-21 16:23:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Tech
UCH6rAZUDfVIoVSJjm3vlcnw,LEspritSorcierOfficiel,2.5,2023-11-21 16:38:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Science
UChCDYcBCrb8tuPAO6e0P-Hw,LeWagon,2.5,2023-11-21 18:24:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,?,School
UCHIqpj0ICijFCizjqUSuvvw,BricolageFacile,2.5,2023-11-21 18:41:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Bricole
UChjVBecXyrnluLxmbV-wswQ,ATECHUET,2.5,2023-11-21 16:29:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Fly
UCHkmaXC6ldOKBitB4xe449Q,DevenirPilote,2.5,2023-11-21 18:21:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Fly
UCHL0yzuBvMDqY2DVoKep3EQ,loperaetseszouz,2.5,2023-11-21 18:21:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Music
UCHlNU7kIZhRgSbhHvFoy72w,HuggingFace,2.5,2023-11-21 18:17:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,En,IA
UChlTcWDE8gd4tsl_L727NrQ,Hasheur,2.5,2023-11-21 16:30:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Finance
UCHnyfMqiRRG1u-2MsSQLbXA,veritasium,2.5,2023-11-21 16:38:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,En,Science
