channel_id,url,categ_1_id,language_id,interest,date,rss_url
GLGreviews,https://www.youtube.com/GLGreviews,Misc.,Fr,,2023-11-21 16:30:00,UC3aPRnneybmQcbEK-X-Qptg
googlecloudtech,https://www.youtube.com/googlecloudtech,Code,En,,2023-11-21 18:34:00,
gradusadparnassumfr,https://www.youtube.com/gradusadparnassumfr,Music,Fr,,2023-11-21 18:24:00,UC1kz30iAcNahlzfPcKFZGpA
grafikart,https://www.youtube.com/grafikart,Code,Fr,,2023-11-21 16:21:00,UCj_iGliGCkLcHSZ8eqVNPDQ
Gravenilvectuto,https://www.youtube.com/Gravenilvectuto,Code,Fr,,2023-11-21 16:42:00,UCIHVyohXw6j2T-83-uLngEg
guitareimprovisation,https://www.youtube.com/guitareimprovisation,Guitar,Fr,,2023-11-21 18:21:00,UC1-BjQoTDrJA4UI1tgGEsIQ
GuitareJump,https://www.youtube.com/GuitareJump,Guitar,Fr,,2023-11-21 16:24:00,UCGGrZas3bCSnnAKQ4Jstudg
Guitarplugandplay,https://www.youtube.com/Guitarplugandplay,Guitar,Fr,,2023-11-21 18:21:00,UCNYcuzbpukVEbSC_vSZ23ag
hamiltonaraujo,https://www.youtube.com/hamiltonaraujo,Maths,Fr,,2023-11-21 18:17:00,
HangingPawns,https://www.youtube.com/HangingPawns,Chess,En,,2023-11-21 16:17:00,UCkJdvwRC-oGPhRHW_XPNokg
HarmonieetPiano,https://www.youtube.com/HarmonieetPiano,Piano,Fr,,2023-11-21 16:30:00,UCLEUKqhGX-PrMLPJhB-jS9Q
HarryJMG,https://www.youtube.com/HarryJMG,Code,Fr,,2023-11-21 18:41:00,UC61GK_nOLSJdzAK5hoR2mJA
Hasheur,https://www.youtube.com/Hasheur,Finance,Fr,,2023-11-21 16:30:00,UChlTcWDE8gd4tsl_L727NrQ
Heu7reka,https://www.youtube.com/Heu7reka,Economy,Fr,,2023-11-21 18:24:00,
HistoireAppliquee,https://www.youtube.com/HistoireAppliquee,History,Fr,,2023-11-21 16:37:00,UCcT7B4zCzrfywO2Q19OJIzA
HiteshChoudharydotcom,https://www.youtube.com/HiteshChoudharydotcom,Code,En,0.0,2023-11-21 18:17:00,UCXgGY0wkgOzynnHvSEVmE3A
howardjeremyp,https://www.youtube.com/howardjeremyp,IA,En,,2023-11-21 18:23:00,UCX7Y2qWriXpqocG97SFW2OQ
HuggingFace,https://www.youtube.com/HuggingFace,IA,En,,2023-11-21 18:17:00,UCHlNU7kIZhRgSbhHvFoy72w
hugolisoiryoutube,https://www.youtube.com/hugolisoiryoutube,Space,Fr,,2023-11-21 16:40:00,
HussonFrancois,https://www.youtube.com/HussonFrancois,Stats,Fr,,2023-11-21 16:45:00,UCyz4M1pwJBNfjMFaUCHCNUQ
HygieneMentale,https://www.youtube.com/HygieneMentale,Sceptic,Fr,,2023-11-21 18:24:00,UCMFcMhePnH4onVHt2-ItPZw
InstinctGuitare,https://www.youtube.com/InstinctGuitare,Guitar,Fr,,2023-11-21 16:33:00,UCm7aLHKeFtueIENAI5Mpf7A
investisseurpassionne,https://www.youtube.com/investisseurpassionne,Finance,Fr,,2023-11-21 18:41:00,
Ironquest,https://www.youtube.com/Ironquest,Muscle,Fr,,2023-11-21 16:33:00,UCNzY0iQB1T1hzoO4zHEK5Eg
jazztutorial,https://www.youtube.com/jazztutorial,Music,?,,2023-11-21 16:37:00,UCu1yiKjTRetsoZ-OSeOMmzg
JeremyFerrari,https://www.youtube.com/JeremyFerrari,Humour,Fr,,2023-11-21 16:46:00,UCqr7gTprPLbkapVRIp-f-_Q
JoachimMouhamad,https://www.youtube.com/JoachimMouhamad,Chess,Fr,,2023-11-21 16:31:00,UCUP5EGxbtsKwxy93CS_9iLg
JohnTaieb,https://www.youtube.com/JohnTaieb,Code,?,1.0,2023-11-21 18:31:00,UC0FIKAE7xORm6Y91kWbg4cA
joueurdugrenier,https://www.youtube.com/joueurdugrenier,Gaming,Fr,,2023-11-21 18:33:00,UC_yP2DpIgs5Y1uWC0T03Chw
juliannash3590,https://www.youtube.com/juliannash3590,Code,En,,2023-11-21 18:21:00,
JulienFlot,https://www.youtube.com/JulienFlot,Finance,Fr,,2023-11-21 16:23:00,UCiHAIS2qHFMNy2T3ESTpHNQ
JulienFlot,https://www.youtube.com/JulienFlot,Finance,Fr,,2023-11-21 18:17:00,UCiHAIS2qHFMNy2T3ESTpHNQ
JulienSong,https://www.youtube.com/JulienSong,Chess,Fr,,2023-11-21 16:47:00,UC3FXGTXQqx9cc2T7EDhslIQ
karatebushido,https://www.youtube.com/karatebushido,Muscle,Fr,,2023-11-21 18:34:00,UC_CXtrkW1a343sChq8DnBGA
KhaosFarbautiIbnOblivion,https://www.youtube.com/KhaosFarbautiIbnOblivion,Hack,Fr,,2023-11-21 16:29:00,UCsRIv1fsbnQRIPKmUQbRzZg
KillTiltpoker,https://www.youtube.com/KillTiltpoker,Poker,Fr,,2023-11-21 16:31:00,UCt59v3EFJVWwUx3FewPGpWg
KoudetatTV,https://www.youtube.com/KoudetatTV,Business,Fr,,2023-11-21 16:45:00,UCb68flOoUHVz98jUJk5XCSw
kurzgesagt,https://www.youtube.com/kurzgesagt,Science,En,,2023-11-21 18:17:00,UCsXVk37bltHxD1rDPwtNM8Q
LaCapsuleBootcamp,https://www.youtube.com/LaCapsuleBootcamp,School,Fr,,2023-11-21 18:24:00,
lanternecosmique,https://www.youtube.com/lanternecosmique,Science,Fr,,2023-11-21 18:31:00,UCWYxQt9Y3y2CDzXLf2K7xCA
Lapetitetrotteuse,https://www.youtube.com/Lapetitetrotteuse,Watch,Fr,,2023-11-21 16:47:00,UC-eE8zE7Czp0pueSYyS4jDQ
lastatistiqueexpliqueeamon4366,https://www.youtube.com/lastatistiqueexpliqueeamon4366,Stats,Fr,,2023-11-21 18:24:00,
LeCalibre,https://www.youtube.com/LeCalibre,Watch,Fr,,2023-11-21 16:42:00,UClFmEmqGurJjeH0JEdw0GDw
